subject,stimulus,bin,pct_of_episode,openness
S06,BOR,59,59.5,0.583333333333
S06,BOR,60,60.5,0.72
S06,BOR,61,61.5,0.875
S06,BOR,62,62.5,0.791666666667
S06,BOR,63,63.5,0.96
S06,BOR,64,64.5,0.958333333333
S06,BOR,65,65.5,0.875
S06,BOR,66,66.5,0.96
S06,BOR,67,67.5,0.708333333333
S06,BOR,68,68.5,0.666666666667
S06,BOR,69,69.5,0.583333333333
S06,BOR,70,70.5,0.92
S06,BOR,71,71.5,0.916666666667
S06,BOR,72,72.5,0.958333333333
S06,BOR,73,73.5,0.88
S06,BOR,74,74.5,0.916666666667
S06,BOR,75,75.5,0.76
S06,BOR,76,76.5,1
S06,BOR,77,77.5,1
S06,BOR,78,78.5,1
S06,BOR,79,79.5,0.916666666667
S06,BOR,80,80.5,0.875
S06,BOR,81,81.5,1
S06,BOR,82,82.5,1
S06,BOR,83,83.5,0.625
S06,BOR,84,84.5,0.875
S06,BOR,85,85.5,0.92
S06,BOR,86,86.5,0.791666666667
S06,BOR,87,87.5,0.875
S06,BOR,88,88.5,0.92
S06,BOR,89,89.5,0.958333333333
S06,BOR,90,90.5,0.791666666667
S06,BOR,91,91.5,0.84
S06,BOR,92,92.5,0.875
S06,BOR,93,93.5,0.625
S06,BOR,94,94.5,0.76
S06,BOR,95,95.5,0.583333333333
S06,BOR,96,96.5,0.708333333333
S06,BOR,97,97.5,0.16
S06,BOR,98,98.5,0
S06,BOR,99,99.5,0
S07,BOR,0,0.5,0.9
S07,BOR,1,1.5,0.48275862069
S07,BOR,2,2.5,0.931034482759
S07,BOR,3,3.5,0.586206896552
S07,BOR,4,4.5,0.827586206897
S07,BOR,5,5.5,0.655172413793
S07,BOR,6,6.5,0.896551724138
S07,BOR,7,7.5,0.827586206897
S07,BOR,8,8.5,0.931034482759
S07,BOR,9,9.5,0.931034482759
S07,BOR,10,10.5,0.896551724138
S07,BOR,11,11.5,0.931034482759
S07,BOR,12,12.5,0.896551724138
S07,BOR,13,13.5,0.896551724138
S07,BOR,14,14.5,0.758620689655
S07,BOR,15,15.5,0.642857142857
S07,BOR,16,16.5,0.620689655172
S07,BOR,17,17.5,0.655172413793
S07,BOR,18,18.5,0.758620689655
S07,BOR,19,19.5,0.827586206897
S07,BOR,20,20.5,0.827586206897
S07,BOR,21,21.5,0.633333333333
S07,BOR,22,22.5,0.678571428571
S07,BOR,23,23.5,0.172413793103
S07,BOR,24,24.5,0.655172413793
S07,BOR,25,25.5,0.275862068966
S07,BOR,26,26.5,0.896551724138
S07,BOR,27,27.5,0.724137931034
S07,BOR,28,28.5,0.931034482759
S07,BOR,29,29.5,0.413793103448
S07,BOR,30,30.5,0.344827586207
S07,BOR,31,31.5,0.241379310345
S07,BOR,32,32.5,0.206896551724
S07,BOR,33,33.5,0.48275862069
S07,BOR,34,34.5,0.793103448276
S07,BOR,35,35.5,0.758620689655
S07,BOR,36,36.5,0.655172413793
S07,BOR,37,37.5,0.172413793103
S07,BOR,38,38.5,0.137931034483
S07,BOR,39,39.5,0.724137931034
S07,BOR,40,40.5,0.689655172414
S07,BOR,41,41.5,0.793103448276
S07,BOR,42,42.5,0.793103448276
S07,BOR,43,43.5,0.758620689655
S07,BOR,44,44.5,0.206896551724
S07,BOR,45,45.5,0.137931034483
S07,BOR,46,46.5,0.137931034483
S07,BOR,47,47.5,0.241379310345
S07,BOR,48,48.5,0.0344827586207
S07,BOR,49,49.5,0.137931034483
S07,BOR,50,50.5,0.103448275862
S07,BOR,51,51.5,0.931034482759
S07,BOR,52,52.5,0.0344827586207
S07,BOR,53,53.5,0.586206896552
S07,BOR,54,54.5,0.896551724138
S07,BOR,55,55.5,0.51724137931
S07,BOR,56,56.5,0.137931034483
S07,BOR,57,57.5,0.413793103448
S07,BOR,58,58.5,0.586206896552
S07,BOR,59,59.5,0.206896551724
S07,BOR,60,60.5,0
S07,BOR,61,61.5,0.137931034483
S07,BOR,62,62.5,0.655172413793
S07,BOR,63,63.5,0
S07,BOR,64,64.5,0.0689655172414
S07,BOR,65,65.5,0.379310344828
S07,BOR,66,66.5,0.413793103448
S07,BOR,67,67.5,0.344827586207
S07,BOR,68,68.5,0.689655172414
S07,BOR,69,69.5,0.931034482759
S07,BOR,70,70.5,0
S07,BOR,71,71.5,0.620689655172
S07,BOR,72,72.5,0.620689655172
S07,BOR,73,73.5,0.689655172414
S07,BOR,74,74.5,0.758620689655
S07,BOR,75,75.5,0.586206896552
S07,BOR,76,76.5,0.655172413793
S07,BOR,77,77.5,0.793103448276
S07,BOR,78,78.5,0.862068965517
S07,BOR,79,79.5,0.620689655172
S07,BOR,80,80.5,0.0344827586207
S07,BOR,81,81.5,0.310344827586
S07,BOR,82,82.5,1
S07,BOR,83,83.5,0.931034482759
S07,BOR,84,84.5,0.413793103448
S07,BOR,85,85.5,0.655172413793
S07,BOR,86,86.5,0.551724137931
S07,BOR,87,87.5,0.827586206897
S07,BOR,88,88.5,0.758620689655
S07,BOR,89,89.5,0.689655172414
S07,BOR,90,90.5,0.689655172414
S07,BOR,91,91.5,0.48275862069
S07,BOR,92,92.5,0.413793103448
S07,BOR,93,93.5,0.586206896552
S07,BOR,94,94.5,0.51724137931
S07,BOR,95,95.5,0.344827586207
S07,BOR,96,96.5,0.655172413793
S07,BOR,97,97.5,0.965517241379
S07,BOR,98,98.5,0.206896551724
S07,BOR,99,99.5,0.413793103448
S08,BOR,0,0.5,0
S08,BOR,1,1.5,0
S08,BOR,2,2.5,0
S08,BOR,3,3.5,0
S08,BOR,4,4.5,0.347826086957
S08,BOR,5,5.5,0.782608695652
S08,BOR,6,6.5,0.869565217391
S08,BOR,7,7.5,0.913043478261
S08,BOR,8,8.5,0.913043478261
S08,BOR,9,9.5,1
S08,BOR,10,10.5,1
S08,BOR,11,11.5,0.695652173913
S08,BOR,12,12.5,0.95652173913
S08,BOR,13,13.5,1
S08,BOR,14,14.5,0.913043478261
S08,BOR,15,15.5,0.833333333333
S08,BOR,16,16.5,1
S08,BOR,17,17.5,1
S08,BOR,18,18.5,1
S08,BOR,19,19.5,1
S08,BOR,20,20.5,0.913043478261
S08,BOR,21,21.5,0.869565217391
S08,BOR,22,22.5,0.913043478261
S08,BOR,23,23.5,0.782608695652
S08,BOR,24,24.5,0.913043478261
S08,BOR,25,25.5,1
S08,BOR,26,26.5,1
S08,BOR,27,27.5,0.869565217391
S08,BOR,28,28.5,0.95652173913
S08,BOR,29,29.5,0.916666666667
S08,BOR,30,30.5,0.913043478261
S08,BOR,31,31.5,0.869565217391
S08,BOR,32,32.5,0.869565217391
S08,BOR,33,33.5,0.95652173913
S08,BOR,34,34.5,0.173913043478
S08,BOR,35,35.5,0.478260869565
S08,BOR,36,36.5,0.347826086957
S08,BOR,37,37.5,0
S08,BOR,38,38.5,0
S08,BOR,39,39.5,0
S08,BOR,40,40.5,0
S08,BOR,41,41.5,0
S08,BOR,42,42.5,0
S08,BOR,43,43.5,0.695652173913
S08,BOR,44,44.5,0.95652173913
S08,BOR,45,45.5,0.173913043478
S08,BOR,46,46.5,0
S08,BOR,47,47.5,0.217391304348
S08,BOR,48,48.5,0
S08,BOR,49,49.5,0
S08,BOR,50,50.5,0
S08,BOR,51,51.5,0
S08,BOR,52,52.5,0
S08,BOR,53,53.5,0.0434782608696
S08,BOR,54,54.5,0
