subject,stimulus,round,variant,window,signal,stat,value
R2-01,INT,2,native,r1matched,eye_openness,third1,0.942791543098
R2-01,INT,2,native,r1matched,eye_openness,third2,0.911444880258
R2-01,INT,2,native,r1matched,eye_openness,third3,0.88359375
R2-01,INT,2,native,r1matched,hr,delta_last_first_third,3.91666666667
R2-01,INT,2,native,r1matched,hr,max,76
R2-01,INT,2,native,r1matched,hr,mean,66.1052631579
R2-01,INT,2,native,r1matched,hr,median,65
R2-01,INT,2,native,r1matched,hr,min,61
R2-01,INT,2,native,r1matched,hr,sd,3.96463742716
R2-01,INT,2,native,r1matched,hr,slope,0.0044493863035
R2-01,INT,2,native,r1matched,hr,third1,62.6666666667
R2-01,INT,2,native,r1matched,hr,third2,67.4166666667
R2-01,INT,2,native,r1matched,hr,third3,67.9285714286
R2-01,INT,2,native,r1matched,left_eye_dilation,delta_last_first_third,-0.0558648766826
R2-01,INT,2,native,r1matched,left_eye_dilation,max,4.862915
R2-01,INT,2,native,r1matched,left_eye_dilation,mean,3.091578789
R2-01,INT,2,native,r1matched,left_eye_dilation,median,3.065628
R2-01,INT,2,native,r1matched,left_eye_dilation,min,1.996231
R2-01,INT,2,native,r1matched,left_eye_dilation,sd,0.402488868132
R2-01,INT,2,native,r1matched,left_eye_dilation,slope,-5.0488081561e-05
R2-01,INT,2,native,r1matched,left_eye_dilation,third1,3.11180712671
R2-01,INT,2,native,r1matched,left_eye_dilation,third2,3.10700118122
R2-01,INT,2,native,r1matched,left_eye_dilation,third3,3.05593055187
R2-01,INT,2,native,r1matched,right_eye_dilation,delta_last_first_third,-0.0261338853679
R2-01,INT,2,native,r1matched,right_eye_dilation,max,4.559814
R2-01,INT,2,native,r1matched,right_eye_dilation,mean,2.93013149284
R2-01,INT,2,native,r1matched,right_eye_dilation,median,2.882149
R2-01,INT,2,native,r1matched,right_eye_dilation,min,1.841934
R2-01,INT,2,native,r1matched,right_eye_dilation,sd,0.385614391231
R2-01,INT,2,native,r1matched,right_eye_dilation,slope,-3.64357165408e-07
R2-01,INT,2,native,r1matched,right_eye_dilation,third1,2.94530119353
R2-01,INT,2,native,r1matched,right_eye_dilation,third2,2.92592597682
R2-01,INT,2,native,r1matched,right_eye_dilation,third3,2.91916730817
R2-02,BOR,2,native,full,cognitive_load,delta_last_first_third,0.000477384313725
R2-02,BOR,2,native,full,cognitive_load,max,0.8794118
R2-02,BOR,2,native,full,cognitive_load,mean,0.468603471289
R2-02,BOR,2,native,full,cognitive_load,median,0.4858515
R2-02,BOR,2,native,full,cognitive_load,min,0.1031903
R2-02,BOR,2,native,full,cognitive_load,sd,0.157753719432
R2-02,BOR,2,native,full,cognitive_load,slope,-3.19930644347e-05
R2-02,BOR,2,native,full,cognitive_load,third1,0.489770715686
R2-02,BOR,2,native,full,cognitive_load,third2,0.425494327451
R2-02,BOR,2,native,full,cognitive_load,third3,0.490438337073
R2-02,BOR,2,native,full,eye_gaze_deviation,delta_last_first_third,-0.0320557639298
R2-02,BOR,2,native,full,eye_gaze_deviation,max,0.621666625404
R2-02,BOR,2,native,full,eye_gaze_deviation,mean,0.206627020745
R2-02,BOR,2,native,full,eye_gaze_deviation,median,0.195426281861
R2-02,BOR,2,native,full,eye_gaze_deviation,min,0.0151660370565
R2-02,BOR,2,native,full,eye_gaze_deviation,sd,0.106245831738
R2-02,BOR,2,native,full,eye_gaze_deviation,slope,-4.31585290869e-05
R2-02,BOR,2,native,full,eye_gaze_deviation,third1,0.219230365068
R2-02,BOR,2,native,full,eye_gaze_deviation,third2,0.213478664905
R2-02,BOR,2,native,full,eye_gaze_deviation,third3,0.18717267762
R2-02,BOR,2,native,full,eye_openness,third1,0.909650521153
R2-02,BOR,2,native,full,eye_openness,third2,0.78652360515
R2-02,BOR,2,native,full,eye_openness,third3,0.56395762317
R2-02,BOR,2,native,full,hr,delta_last_first_third,
R2-02,BOR,2,native,full,hr,max,
R2-02,BOR,2,native,full,hr,mean,
R2-02,BOR,2,native,full,hr,median,
R2-02,BOR,2,native,full,hr,min,
R2-02,BOR,2,native,full,hr,sd,
R2-02,BOR,2,native,full,hr,slope,
R2-02,BOR,2,native,full,hr,third1,
R2-02,BOR,2,native,full,hr,third2,
R2-02,BOR,2,native,full,hr,third3,
R2-02,BOR,2,native,full,left_eye_dilation,delta_last_first_third,-0.0614973994748
R2-02,BOR,2,native,full,left_eye_dilation,max,4.96994
R2-02,BOR,2,native,full,left_eye_dilation,mean,3.49809303959
R2-02,BOR,2,native,full,left_eye_dilation,median,3.4673
R2-02,BOR,2,native,full,left_eye_dilation,min,1.480179
R2-02,BOR,2,native,full,left_eye_dilation,sd,0.431437784259
R2-02,BOR,2,native,full,left_eye_dilation,slope,2.2430900938e-05
R2-02,BOR,2,native,full,left_eye_dilation,third1,3.53101041392
R2-02,BOR,2,native,full,left_eye_dilation,third2,3.49374054289
R2-02,BOR,2,native,full,left_eye_dilation,third3,3.46953013571
R2-02,BOR,2,native,full,right_eye_dilation,delta_last_first_third,-0.128756009223
R2-02,BOR,2,native,full,right_eye_dilation,max,4.768478
